하파,81,179
마나,59,198
라차,94,172
타아,66,175
사다,99,168
하자,63,145
마마,59,159
하바,83,157
자사,74,158
하가,77,186
나라,64,172
하카,83,183
나나,84,164
사자,40,194
차자,88,151
자하,77,168
라자,78,145
바자,85,144
나바,80,177
가자,59,146
가카,76,189
타자,95,152
아아,79,199
타차,98,177
나나,60,185
카가,75,166
파하,57,178
가마,68,182
다하,75,193
카사,97,195
다나,72,197
타라,97,164
하바,72,171
사다,74,153
마바,77,168
가마,99,197
사가,49,157
마마,98,197
바아,81,143
다자,56,149
라나,53,159
가파,60,188
다마,98,195
바파,78,190
다사,52,175
사라,62,151
타라,43,140
아자,78,168
차나,91,181
가타,81,180
아타,71,153
차자,40,196
타다,86,176
바바,40,144
다가,54,156
하타,61,149
마마,56,142
아하,52,148
차나,57,159
라파,44,194
카타,99,156
마사,95,163
타마,63,168
나라,45,181
나하,51,156
아다,63,155
라바,46,196
사라,62,157
사다,44,172
차사,51,188
아파,78,180
마나,60,176
하자,83,176
카라,91,193
차바,96,174
파바,41,185
나다,75,156
아파,91,174
마라,80,144
하파,51,179
나카,67,178
바하,45,162
차자,55,167
바타,62,197
타나,59,141
자바,45,191
차라,81,189
카차,61,179
사자,43,184
나타,50,196
자나,84,191
자가,53,143
라하,73,186
하자,90,187
라다,75,175
아차,73,179
다사,90,154
아나,91,144
자나,87,192
사타,78,155
나사,47,190
타바,63,171
다바,80,199
아가,51,151
하하,51,176
차차,75,143
사아,93,146
바마,95,142
파카,43,146
가바,84,198
아바,45,191
차바,41,155
파가,68,199
라타,61,146
아다,67,192
나차,45,149
하사,94,145
타라,63,147
마다,62,176
타사,67,192
마하,60,178
자가,42,161
카아,41,184
타타,50,176
가라,85,173
사카,90,174
다아,73,150
아카,44,146
마파,93,163
카자,93,141
파자,82,182
마카,89,166
차아,72,154
아나,55,177
사차,88,157
라파,72,196
아바,59,173
사가,72,166
사아,75,151
사마,62,142
사나,50,163
가다,48,164
다마,75,140
가차,75,171
자타,51,198
사라,88,177
바다,61,190
마카,57,142
바라,47,197
자아,40,148
카다,84,181
카파,92,181
가자,60,165
하바,70,162
타카,60,144
사카,91,193
가타,99,181
타차,62,140
다나,78,190
다라,81,164
가파,51,192
차아,70,192
가하,63,178
사사,84,168
타타,66,146
자카,50,184
하타,56,177
파바,64,147
나사,48,181
자자,42,198
다바,84,158
나사,64,191
파가,67,191
나자,72,163
사바,72,180
나라,41,191
파다,46,142
사차,90,183
가나,99,174
타바,95,190
바라,76,163
사타,89,190
차자,50,148
카라,62,141
자마,84,199
자마,45,156
카사,76,193
사나,61,153
사파,87,191
파다,47,145
라나,51,194
자타,44,166
나타,48,146
마타,96,166
라나,77,199
가사,81,165
다파,94,161
자카,96,172
하자,61,186
사가,81,195
바자,97,141
하하,42,192
가마,63,178
아하,64,166
자마,40,177
사다,79,186
아하,74,152
카가,55,189
자바,96,164
다다,93,196
사사,89,148
자나,63,149
타사,73,174
나카,98,170
다하,82,174
파마,75,199
사다,64,141
다가,86,152
라바,62,147
나다,43,148
하자,95,165
마바,86,185
차가,59,168
파카,98,179
자카,82,170
타하,72,151
마마,77,149
카마,83,173
바자,97,164
라마,83,191
하바,52,161
나자,64,186
타하,92,172
카바,92,196
파자,63,144
카다,54,165
타다,65,185
파차,84,147
가아,96,198
라파,61,171
타하,70,199
카자,70,182
카자,63,148
자자,78,159
아라,79,197
타파,96,184
나파,78,166
나아,74,146
나사,81,159
가사,83,191
자라,55,185
바차,74,149
가나,47,171
다나,72,177
다차,56,191
마마,57,155
나파,84,189
가사,74,189
타나,44,148
차차,45,165
마가,50,149
나카,42,161
아사,80,161
파가,40,194
하라,41,199
라카,90,193
나마,74,180
가라,54,147
라차,54,153
나하,72,168
나아,93,170
자하,49,175
나파,87,159
마차,89,181
타바,91,153
나라,52,156
카나,68,178
타바,96,197
카가,71,187
바자,76,148
파사,84,179
다하,40,161
타아,65,185
카하,65,180
하라,87,154
바가,66,148
자다,92,157
차타,43,172
파자,51,173
하사,71,173
다라,52,151
마자,79,142
자하,70,189
나아,55,140
카사,80,195
바파,68,193
타사,57,141
가차,96,143
차타,63,177
다마,60,199
가하,58,161
카하,52,143
차가,96,189
마다,80,166
자가,88,199
카하,91,165
다아,50,144
바차,95,161
나마,68,167
타나,41,166
다타,70,146
하카,56,154
마라,85,199
바나,90,143
가나,81,178
마사,41,154
사나,71,157
다타,94,194
바카,69,174
카차,79,140
하다,70,188
가가,52,156
바바,58,185
차카,59,168
타가,43,178
바아,64,164
나파,57,191
마하,71,168
카바,70,170
자타,67,191
가라,85,196
하마,72,173
나타,76,178
마자,85,189
가타,57,145
파라,86,145
하다,82,141
카자,94,189
나차,78,179
자라,64,182
카다,53,194
카차,96,149
가파,79,150
나바,48,191
파자,91,148
타아,48,176
나카,40,160
하라,93,192
사사,56,196
아라,92,163
아카,51,167
차차,79,143
나하,59,163
가타,52,143
타하,49,193
자자,83,159
라자,75,184
바사,58,198
바자,67,186
카다,83,141
파타,72,169
사하,55,198
아나,52,180
마카,91,142
마다,40,196
가라,58,172
마사,87,170
나타,47,167
사마,44,155
마하,81,197
다자,67,143
아다,86,144
사가,62,172
카카,57,176
바가,70,183
파아,40,163
카카,54,181
나하,79,177
바차,89,154
다자,95,164
라라,92,144
바아,94,147
파하,77,199
파차,40,142
바나,60,182
바타,51,164
마파,58,177
마다,57,167
사타,84,171
파자,58,175
파타,45,156
다바,77,170
타아,48,175
하자,56,189
사아,60,196
파마,65,197
다하,76,164
타타,63,198
파자,91,190
타하,99,162
다바,91,175
라마,61,155
타타,85,181
타마,72,163
자자,88,158
나가,98,196
하타,79,156
다파,47,147
아타,50,168
마라,45,178
바다,99,192
나나,89,162
마자,47,143
타카,88,149
차카,51,185
파자,91,195
사차,68,191
마아,81,194
아다,71,148
다하,82,163
가마,54,165
자마,44,173
나타,44,175
라마,97,168
타차,69,161
아가,71,198
나카,77,170
라차,61,169
타하,41,143
사사,76,173
라라,73,141
자하,42,178
하카,96,161
차타,78,148
타아,54,149
차다,58,142
나카,43,152
파파,80,181
하사,96,158
라사,72,149
가바,98,182
마차,66,196
나가,52,170
다다,93,152
아파,71,150
아바,89,143
아파,66,177
바라,57,151
다바,69,161
다다,61,163
아바,54,185
마자,86,178
라라,71,147
하카,61,151
파아,72,182
바파,84,162
사다,88,168
자마,60,152
사가,93,147
나타,92,176
마가,78,182
파차,85,177
자하,84,191
바차,45,163
가하,97,162
다마,99,188
파타,98,168
라다,69,166
차아,53,155
바타,98,154
사자,53,188
자바,89,169
카바,58,176
파사,73,170
차마,93,146
하마,55,192
하라,60,198
가바,47,175
다다,46,187
카사,56,166
타사,72,179
나사,76,180
사바,47,191
타다,71,146
하바,75,159
아차,99,149
차사,84,165
라차,43,197
차자,58,156
가마,62,182
마아,91,191
라아,94,192
파라,72,141
차가,94,173
카아,86,149
사라,79,185
타파,97,192
다아,79,161
아나,64,154
마다,86,199
파하,50,165
차아,76,145
바마,73,147
타마,82,142
가하,42,166
카마,61,178
자카,92,155
마아,91,184
나자,45,163
자가,73,163
타하,84,157
아자,73,193
라하,63,187
라가,75,176
가차,71,161
자아,59,144
타하,74,178
다마,52,199
차다,92,146
타파,60,182
카라,82,181
카하,50,170
나가,73,186
파타,74,164
하타,54,189
바카,59,194
아가,62,175
가바,98,148
라마,76,144
가나,59,179
카다,62,197
가아,91,149
하나,50,172
타가,47,185
차파,44,140
바마,51,147
아타,50,171
차나,64,173
카라,40,150
자사,84,179
나라,89,149
마하,79,141
마라,67,152
마아,98,155
자하,46,188
가다,55,140
라타,81,156
카파,71,166
나바,63,161
사가,51,193
나마,47,140
가나,91,151
사하,71,159
바카,67,189
사아,50,172
바바,52,198
아나,50,194
바바,61,178
바자,57,166
자다,52,161
하바,71,144
마타,91,165
다사,63,167
가마,45,145
아나,53,191
바나,66,165
라파,86,150
카차,69,191
차자,89,179
바차,88,145
아카,92,177
차타,64,154
하다,95,151
아가,95,180
바파,82,149
자바,44,180
차차,56,141
차파,42,158
아라,47,193
다가,90,174
바파,46,184
사자,59,194
마사,81,186
카차,62,145
파파,67,153
다다,89,171
사하,64,174
다다,67,194
가자,84,185
차파,71,149
자카,42,149
파타,59,176
바카,46,191
다라,93,192
카나,75,145
마사,64,172
아마,66,185
가다,51,142
라마,69,189
타타,91,181
파다,44,145
나자,70,162
차바,45,181
파타,46,171
라자,84,154
아타,85,169
카카,55,182
자아,46,181
아아,58,151
